Data type,Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate
2024 Australian population 
(per 100,000)"
Mortality,Melanoma of the skin,2012,Males,New South Wales,368,12.6
Mortality,Melanoma of the skin,2012,Males,Victoria,210,9.7
Mortality,Melanoma of the skin,2012,Males,Queensland,231,14.1
Mortality,Melanoma of the skin,2012,Males,Western Australia,112,13.0
Mortality,Melanoma of the skin,2012,Males,South Australia,64,8.9
Mortality,Melanoma of the skin,2012,Males,Tasmania,28,12.7
Mortality,Melanoma of the skin,2012,Males,Australian Capital Territory,12,11.6
Mortality,Melanoma of the skin,2012,Males,Northern Territory,5,10.1
Mortality,Melanoma of the skin,2012,Females,New South Wales,177,4.8
Mortality,Melanoma of the skin,2012,Females,Victoria,104,3.8
Mortality,Melanoma of the skin,2012,Females,Queensland,105,5.0
Mortality,Melanoma of the skin,2012,Females,Western Australia,39,3.9
Mortality,Melanoma of the skin,2012,Females,South Australia,37,4.1
Mortality,Melanoma of the skin,2012,Females,Tasmania,21,7.6
Mortality,Melanoma of the skin,2012,Females,Australian Capital Territory,6,4.2
Mortality,Melanoma of the skin,2012,Females,Northern Territory,1,2.0
Mortality,Melanoma of the skin,2012,Persons,New South Wales,545,8.3
Mortality,Melanoma of the skin,2012,Persons,Victoria,314,6.4
Mortality,Melanoma of the skin,2012,Persons,Queensland,336,9.1
Mortality,Melanoma of the skin,2012,Persons,Western Australia,151,7.9
Mortality,Melanoma of the skin,2012,Persons,South Australia,101,6.2
Mortality,Melanoma of the skin,2012,Persons,Tasmania,49,9.9
Mortality,Melanoma of the skin,2012,Persons,Australian Capital Territory,18,7.2
Mortality,Melanoma of the skin,2012,Persons,Northern Territory,6,5.9
Mortality,Melanoma of the skin,2013,Males,New South Wales,398,13.3
Mortality,Melanoma of the skin,2013,Males,Victoria,249,10.7
Mortality,Melanoma of the skin,2013,Males,Queensland,313,18.0
Mortality,Melanoma of the skin,2013,Males,Western Australia,109,12.7
Mortality,Melanoma of the skin,2013,Males,South Australia,70,9.4
Mortality,Melanoma of the skin,2013,Males,Tasmania,21,8.8
Mortality,Melanoma of the skin,2013,Males,Australian Capital Territory,12,11.0
Mortality,Melanoma of the skin,2013,Males,Northern Territory,5,10.0
Mortality,Melanoma of the skin,2013,Females,New South Wales,155,4.2
Mortality,Melanoma of the skin,2013,Females,Victoria,118,4.1
Mortality,Melanoma of the skin,2013,Females,Queensland,110,5.2
Mortality,Melanoma of the skin,2013,Females,Western Australia,51,4.8
Mortality,Melanoma of the skin,2013,Females,South Australia,36,3.8
Mortality,Melanoma of the skin,2013,Females,Tasmania,12,4.4
Mortality,Melanoma of the skin,2013,Females,Australian Capital Territory,5,3.7
Mortality,Melanoma of the skin,2013,Females,Northern Territory,2,4.0
Mortality,Melanoma of the skin,2013,Persons,New South Wales,553,8.2
Mortality,Melanoma of the skin,2013,Persons,Victoria,367,7.1
Mortality,Melanoma of the skin,2013,Persons,Queensland,423,10.9
Mortality,Melanoma of the skin,2013,Persons,Western Australia,160,8.3
Mortality,Melanoma of the skin,2013,Persons,South Australia,106,6.4
Mortality,Melanoma of the skin,2013,Persons,Tasmania,33,6.3
Mortality,Melanoma of the skin,2013,Persons,Australian Capital Territory,17,6.7
Mortality,Melanoma of the skin,2013,Persons,Northern Territory,7,6.0
Mortality,Melanoma of the skin,2014,Males,New South Wales,336,10.8
Mortality,Melanoma of the skin,2014,Males,Victoria,190,8.3
Mortality,Melanoma of the skin,2014,Males,Queensland,250,13.9
Mortality,Melanoma of the skin,2014,Males,Western Australia,103,11.7
Mortality,Melanoma of the skin,2014,Males,South Australia,90,12.0
Mortality,Melanoma of the skin,2014,Males,Tasmania,23,9.2
Mortality,Melanoma of the skin,2014,Males,Australian Capital Territory,11,9.8
Mortality,Melanoma of the skin,2014,Males,Northern Territory,6,10.4
Mortality,Melanoma of the skin,2014,Females,New South Wales,165,4.3
