State,Month,UV_Index
Northern Territory,Jan,12
Queensland,Jan,12
Western Australia,Jan,12
New South Wales,Jan,11
Australian Capital Territory,Jan,11
South Australia,Jan,11
Victoria,Jan,10
Tasmania,Jan,8
Northern Territory,Feb,13
Queensland,Feb,11
Western Australia,Feb,11
New South Wales,Feb,10
Australian Capital Territory,Feb,8
South Australia,Feb,10
Victoria,Feb,9
Tasmania,Feb,7
Northern Territory,Mar,12
Queensland,Mar,9
Western Australia,Mar,9
New South Wales,Mar,8
Australian Capital Territory,Mar,7
South Australia,Mar,8
Victoria,Mar,7
Tasmania,Mar,4
Northern Territory,Apr,11
Queensland,Apr,7
Western Australia,Apr,6
New South Wales,Apr,5
Australian Capital Territory,Apr,5
South Australia,Apr,5
Victoria,Apr,4
Tasmania,Apr,3
Northern Territory,May,9
Queensland,May,5
Western Australia,May,4
New South Wales,May,3
Australian Capital Territory,May,3
South Australia,May,3
Victoria,May,2
Tasmania,May,1
Northern Territory,June,8
Queensland,June,4
Western Australia,June,3
New South Wales,June,2
Australian Capital Territory,June,2
South Australia,June,2
Victoria,June,2
Tasmania,June,1
Northern Territory,July,9
Queensland,July,4
Western Australia,July,3
New South Wales,July,3
Australian Capital Territory,July,2
South Australia,July,2
Victoria,July,2
Tasmania,July,1
Northern Territory,Aug,10
Queensland,Aug,5
Western Australia,Aug,4
New South Wales,Aug,4
Australian Capital Territory,Aug,3
South Australia,Aug,3
Victoria,Aug,3
Tasmania,Aug,2
Northern Territory,Sept,12
Queensland,Sept,7
Western Australia,Sept,6
New South Wales,Sept,5
Australian Capital Territory,Sept,5
South Australia,Sept,5
Victoria,Sept,4
Tasmania,Sept,3
Northern Territory,Oct,13
Queensland,Oct,9
Western Australia,Oct,8
New South Wales,Oct,7
Australian Capital Territory,Oct,7
South Australia,Oct,7
Victoria,Oct,6
Tasmania,Oct,4
Northern Territory,Nov,12
Queensland,Nov,11
Western Australia,Nov,10
New South Wales,Nov,9
Australian Capital Territory,Nov,9
South Australia,Nov,9
Victoria,Nov,8
Tasmania,Nov,6
Northern Territory,Dec,12
Queensland,Dec,11
Western Australia,Dec,11
New South Wales,Dec,10
Australian Capital Territory,Dec,11
South Australia,Dec,11
Victoria,Dec,10
Tasmania,Dec,7
